Using TensorFlow backend.
2018-02-01 18:25:19.097888: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

26368/50000 [==============>...............] - ETA: 4s - loss: 0.6482
26688/50000 [===============>..............] - ETA: 4s - loss: 0.6481
27008/50000 [===============>..............] - ETA: 4s - loss: 0.6480
27328/50000 [===============>..............] - ETA: 4s - loss: 0.6480
27648/50000 [===============>..............] - ETA: 3s - loss: 0.6479
27968/50000 [===============>..............] - ETA: 3s - loss: 0.6479
28288/50000 [===============>..............] - ETA: 3s - loss: 0.6479
28608/50000 [================>.............] - ETA: 3s - loss: 0.6478
28928/50000 [================>.............] - ETA: 3s - loss: 0.6478
29248/50000 [================>.............] - ETA: 3s - loss: 0.6478
29568/50000 [================>.............] - ETA: 3s - loss: 0.6477
29888/50000 [================>.............] - ETA: 3s - loss: 0.6478
30208/50000 [=================>............] - ETA: 3s - loss: 0.6477
