Using TensorFlow backend.
2018-02-04 01:39:11.458747: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

12032/50000 [======>.......................] - ETA: 6s - loss: 0.6520
12416/50000 [======>.......................] - ETA: 6s - loss: 0.6521
12800/50000 [======>.......................] - ETA: 6s - loss: 0.6520
13184/50000 [======>.......................] - ETA: 6s - loss: 0.6518
13568/50000 [=======>......................] - ETA: 6s - loss: 0.6518
13952/50000 [=======>......................] - ETA: 6s - loss: 0.6517
14208/50000 [=======>......................] - ETA: 6s - loss: 0.6518
14528/50000 [=======>......................] - ETA: 6s - loss: 0.6518
14848/50000 [=======>......................] - ETA: 6s - loss: 0.6517
15232/50000 [========>.....................] - ETA: 6s - loss: 0.6518
15616/50000 [========>.....................] - ETA: 5s - loss: 0.6518
16000/50000 [========>.....................] - ETA: 5s - loss: 0.6517
16384/50000 [========>.....................] - ETA: 5s - loss: 0.6517
16768/50000 [=========>....................] - ETA: 5s - loss: 0.6517
17152/50000 [=========>....................] - ETA: 5s - loss: 0.6517
17472/50000 [=========>....................] - ETA: 5s - loss: 0.6517
17792/50000 [=========>....................] - ETA: 5s - loss: 0.6516
18240/50000 [=========>....................] - ETA: 5s - loss: 0.6516
18432/50000 [==========>...................] - ETA: 5s - loss: 0.6516
18624/50000 [==========>...................] - ETA: 5s - loss: 0.6516
18880/50000 [==========>...................] - ETA: 5s - loss: 0.6515
19136/50000 [==========>...................] - ETA: 5s - loss: 0.6515
19392/50000 [==========>...................] - ETA: 5s - loss: 0.6514
19712/50000 [==========>...................] - ETA: 5s - loss: 0.6514
19968/50000 [==========>...................] - ETA: 5s - loss: 0.6513
20288/50000 [===========>..................] - ETA: 5s - loss: 0.6513
20544/50000 [===========>..................] - ETA: 5s - loss: 0.6513
20800/50000 [===========>..................] - ETA: 5s - loss: 0.6513
21056/50000 [===========>..................] - ETA: 5s - loss: 0.6513
21376/50000 [===========>..................] - ETA: 5s - loss: 0.6513
21696/50000 [============>.................] - ETA: 5s - loss: 0.6512
22016/50000 [============>.................] - ETA: 4s - loss: 0.6512
22336/50000 [============>.................] - ETA: 4s - loss: 0.6512
22656/50000 [============>.................] - ETA: 4s - loss: 0.6512
22912/50000 [============>.................] - ETA: 4s - loss: 0.6511
23168/50000 [============>.................] - ETA: 4s - loss: 0.6511
23488/50000 [=============>................] - ETA: 4s - loss: 0.6511
23808/50000 [=============>................] - ETA: 4s - loss: 0.6510
24128/50000 [=============>................] - ETA: 4s - loss: 0.6510
24384/50000 [=============>................] - ETA: 4s - loss: 0.6509
24704/50000 [=============>................] - ETA: 4s - loss: 0.6508
25088/50000 [==============>...............] - ETA: 4s - loss: 0.6508
25408/50000 [==============>...............] - ETA: 4s - loss: 0.6508
25728/50000 [==============>...............] - ETA: 4s - loss: 0.6508
26112/50000 [==============>...............] - ETA: 4s - loss: 0.6508
26432/50000 [==============>...............] - ETA: 4s - loss: 0.6508
26816/50000 [===============>..............] - ETA: 4s - loss: 0.6508
27136/50000 [===============>..............] - ETA: 4s - loss: 0.6508
27520/50000 [===============>..............] - ETA: 3s - loss: 0.6507
27840/50000 [===============>..............] - ETA: 3s - loss: 0.6506
28160/50000 [===============>..............] - ETA: 3s - loss: 0.6506
28480/50000 [================>.............] - ETA: 3s - loss: 0.6505
28736/50000 [================>.............] - ETA: 3s - loss: 0.6504
29056/50000 [================>.............] - ETA: 3s - loss: 0.6504
29440/50000 [================>.............] - ETA: 3s - loss: 0.6504
29824/50000 [================>.............] - ETA: 3s - loss: 0.6503
30208/50000 [=================>............] - ETA: 3s - loss: 0.6503
30592/50000 [=================>............] - ETA: 3s - loss: 0.6502
30976/50000 [=================>............] - ETA: 3s - loss: 0.6502
31296/50000 [=================>............] - ETA: 3s - loss: 0.6502
31552/50000 [=================>............] - ETA: 3s - loss: 0.6502
31872/50000 [==================>...........] - ETA: 3s - loss: 0.6502
32256/50000 [==================>...........] - ETA: 3s - loss: 0.6501
32640/50000 [==================>...........] - ETA: 3s - loss: 0.6501
32896/50000 [==================>...........] - ETA: 3s - loss: 0.6502
33152/50000 [==================>...........] - ETA: 2s - loss: 0.6501
33408/50000 [===================>..........] - ETA: 2s - loss: 0.6501
33664/50000 [===================>..........] - ETA: 2s - loss: 0.6501
33984/50000 [===================>..........] - ETA: 2s - loss: 0.6501
